Generated by pymatgen.io.lammps.data.LammpsData

24948  atoms

    1  atom types

0.000000 54.504395  xlo xhi
0.000000 63.033596  ylo yhi
0.000000 104.937693  zlo zhi
1.432581 0.000000 0.000000  xy xz yz

Masses

1  55.85

Atoms

5941   1  0.890738  0.577481 84.820306
10198  1  2.500879  1.755311 86.831561
16336  1  1.699089  2.926577 84.809143
18415  1  3.368210  0.577481 84.820306
22672  1  0.023407  1.755311 86.831561
6040   1  0.830814  0.583288 88.854521
10297  1  2.378875  1.762757 90.849825
16435  1  1.607250  2.934346 88.834540
18514  1  3.308286  0.583288 88.854521
20791  1  2.058625  1.700930  9.933014
6139   1  0.638713  0.585564 92.861405
16534  1  1.414808  2.918268 92.857904
18613  1  3.116185  0.585563 92.861405
4061   1  3.892281  2.918267 92.857903
16654  1  0.463394  7.521874 11.976475
22870  1  2.045229  5.183193 11.964903
18821  1  0.264815  4.004507 13.988057
111    1  1.182172  6.337764 13.994692
6337   1  2.742287  4.004507 13.988057
12585  1  3.659644  6.337764 13.994692
16753  1  0.338666  7.498187 16.026811
22969  1  1.900908  5.168705 16.020163
4269   1  2.816138  7.498187 16.026811
18920  1  0.143066  4.012031 18.054530
210    1  1.074170  6.334047 18.052851
6436   1  2.620539  4.012031 18.054530
12684  1  3.551642  6.334046 18.052851
16852  1  0.257598  7.499683 20.085893
23068  1  1.811377  5.177533 20.084669
4368   1  2.735071  7.499683 20.085893
19019  1  0.076019  4.023519 22.118398
309    1  1.009409  6.342414 22.115555
6535   1  2.553492  4.023519 22.118398
12783  1  3.486882  6.342414 22.115555
16951  1  0.214209  7.506394 24.147412
23167  1  1.765266  5.186408 24.146249
4467   1  2.691681  7.506394 24.147411
408    1  0.983333  6.348007 26.176519
6634   1  2.526599  4.029433 26.175055
12882  1  3.460806  6.348007 26.176519
17050  1  0.208164  7.508078 28.208681
23266  1  1.757270  5.188754 28.204492
507    1  0.996938  6.345741 30.237505
6733   1  2.535453  4.028546 30.230385
12981  1  3.474410  6.345741 30.237505
19316  1  0.117593  4.018475 34.293624
606    1  1.058426  6.337111 34.300554
6832   1  2.595066  4.018474 34.293623
13080  1  3.535899  6.337110 34.300554
17149  1  0.243046  7.502823 32.270133
23365  1  1.792258  5.182371 32.265780
4665   1  2.720519  7.502822 32.270133
19415  1  0.269950  4.011229 38.362220
705    1  1.183800  6.343133 38.356205
6931   1  2.747423  4.011229 38.362220
13179  1  3.661272  6.343133 38.356205
17248  1  0.326234  7.501102 36.327141
23464  1  1.889088  5.172100 36.331445
4764   1  2.803706  7.501101 36.327141
19514  1  0.570443  4.079175 42.402650
804    1  1.388791  6.401587 42.396111
7030   1  3.047915  4.079174 42.402650
13278  1  3.866264  6.401587 42.396111
17347  1  0.472646  7.533124 40.371731
23563  1  2.081856  5.200162 40.382632
19613  1  0.788204  4.089076 46.420662
903    1  1.563219  6.424109 46.427591
7129   1  3.265677  4.089076 46.420662
23662  1  2.327022  5.257209 44.415203
19712  1  0.886590  4.076268 50.439554
1002   1  1.670920  6.416677 50.451842
7228   1  3.364063  4.076268 50.439554
23761  1  2.470601  5.252221 48.435351
11386  1  2.549490  5.243707 52.461344
7327   1  0.935331  4.072700 54.475401
11485  1  2.595943  5.243264 56.498528
13575  1  1.739446  6.412900 54.482367
19801  1  3.412803  4.072700 54.475401
23959  1  0.118471  5.243264 56.498529
7426   1  0.963258  4.073970 58.518165
11584  1  2.624057  5.246127 60.540952
13674  1  1.783790  6.415316 58.520468
19900  1  3.440731  4.073970 58.518165
24058  1  0.146584  5.246127 60.540952
7525   1  0.978409  4.076390 62.563633
11683  1  2.638404  5.249111 64.585956
13773  1  1.810340  6.419065 62.562744
19999  1  3.455881  4.076390 62.563633
24157  1  0.160932  5.249112 64.585957
7624   1  0.983473  4.078728 66.610514
11782  1  2.641151  5.251907 68.632424
13872  1  1.822046  6.422240 66.607560
20098  1  3.460946  4.078727 66.610514
24256  1  0.163678  5.251907 68.632424
7723   1  0.979592  4.081378 70.657969
11881  1  2.633109  5.255449 72.679066
13971  1  1.820774  6.425572 70.653669
20197  1  3.457064  4.081378 70.657969
24355  1  0.155636  5.255449 72.679066
7822   1  0.966458  4.085116 74.704608
14070  1  1.806760  6.430290 74.699273
20296  1  3.443930  4.085116 74.704608
7921   1  0.941639  4.090461 78.748376
11980  1  2.613185  5.260581 76.723943
14169  1  1.777872  6.436942 78.742058
20395  1  3.419111  4.090461 78.748376
24454  1  0.135713  5.260581 76.723943
8020   1  0.899330  4.097306 82.786987
12079  1  2.577529  5.267440 80.764722
14268  1  1.728533  6.444824 82.779675
20494  1  3.376802  4.097305 82.786987
24553  1  0.100056  5.267440 80.764722
8119   1  0.825883  4.104914 86.817249
12178  1  2.517419  5.275141 84.798903
14367  1  1.648768  6.449951 86.812211
20593  1  3.303356  4.104914 86.817249
8218   1  0.693421  4.102837 90.842992
12277  1  2.417015  5.277921 88.827919
14466  1  1.523620  6.437353 90.846545
20692  1  3.170894  4.102837 90.842992
1993   1  4.001093  6.437352 90.846544
18722  1  0.464912  4.041925  9.939285
