Generated by pymatgen.io.lammps.data.LammpsData

187  atoms

  3  atom types

0.000000 138.665064  xlo xhi
0.000000 2.451274  ylo yhi
0.000000 120.087493  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.8450
2   4.0026
3  51.9961

Atoms

918   1 72.799159 0.000000 70.051037
919   1 72.799159 0.000000 74.053954
942   1 79.732412 0.000000 46.033539
943   1 79.732412 0.000000 50.036455
944   1 79.732412 0.000000 54.039372
945   1 79.732412 0.000000 58.042288
946   1 79.732412 0.000000 62.045205
947   1 79.732412 0.000000 66.048121
948   1 79.732412 0.000000 70.051037
949   1 79.732412 0.000000 74.053954
1452  1 56.621567 1.634183 46.033539
1453  1 56.621567 1.634183 50.036455
1454  1 56.621567 1.634183 54.039372
1455  1 56.621567 1.634183 58.042288
1456  1 56.621567 1.634183 62.045205
1457  1 56.621567 1.634183 66.048121
1458  1 56.621567 1.634183 70.051037
1459  1 56.621567 1.634183 74.053954
1482  1 63.554820 1.634183 46.033539
1483  1 63.554820 1.634183 50.036455
1484  1 63.554820 1.634183 54.039372
1485  1 63.554820 1.634183 58.042288
1486  1 63.554820 1.634183 62.045205
1487  1 63.554820 1.634183 66.048121
1488  1 63.554820 1.634183 70.051037
1489  1 63.554820 1.634183 74.053954
1512  1 70.488073 1.634183 46.033539
1513  1 70.488073 1.634183 50.036455
1514  1 70.488073 1.634183 54.039372
1515  1 70.488073 1.634183 58.042288
1516  1 70.488073 1.634183 62.045205
1517  1 70.488073 1.634183 66.048121
1518  1 70.488073 1.634183 70.051037
1519  1 70.488073 1.634183 74.053954
1542  1 77.421326 1.634183 46.033539
1543  1 77.421326 1.634183 50.036455
1544  1 77.421326 1.634183 54.039372
1545  1 77.421326 1.634183 58.042288
1546  1 77.421326 1.634183 62.045205
1547  1 77.421326 1.634183 66.048121
1548  1 77.421326 1.634183 70.051037
1549  1 77.421326 1.634183 74.053954
2053  1 60.088193 1.634183 48.034997
2054  1 60.088193 1.634183 52.037913
2055  1 60.088193 1.634183 56.040830
2056  1 60.088193 1.634183 60.043746
2057  1 60.088193 1.634183 64.046663
2058  1 60.088193 1.634183 68.049579
2059  1 60.088193 1.634183 72.052496
2083  1 67.021447 1.634183 48.034997
2084  1 67.021447 1.634183 52.037913
2085  1 67.021447 1.634183 56.040830
2086  1 67.021447 1.634183 60.043746
2087  1 67.021447 1.634183 64.046663
2088  1 67.021447 1.634183 68.049579
2089  1 67.021447 1.634183 72.052496
2113  1 73.954700 1.634183 48.034997
2114  1 73.954700 1.634183 52.037913
2115  1 73.954700 1.634183 56.040830
2116  1 73.954700 1.634183 60.043746
2117  1 73.954700 1.634183 64.046663
2118  1 73.954700 1.634183 68.049579
2119  1 73.954700 1.634183 72.052496
2143  1 80.887953 1.634183 48.034997
2144  1 80.887953 1.634183 52.037913
2145  1 80.887953 1.634183 56.040830
2146  1 80.887953 1.634183 60.043746
2147  1 80.887953 1.634183 64.046663
2148  1 80.887953 1.634183 68.049579
2149  1 80.887953 1.634183 72.052496
2653  1 57.777111 0.817091 48.034997
2654  1 57.777111 0.817091 52.037913
2655  1 57.777111 0.817091 56.040830
2656  1 57.777111 0.817091 60.043746
2657  1 57.777111 0.817091 64.046663
2658  1 57.777111 0.817091 68.049579
2659  1 57.777111 0.817091 72.052496
2683  1 64.710364 0.817091 48.034997
2684  1 64.710364 0.817091 52.037913
2685  1 64.710364 0.817091 56.040830
2686  1 64.710364 0.817091 60.043746
2687  1 64.710364 0.817091 64.046663
2688  1 64.710364 0.817091 68.049579
2689  1 64.710364 0.817091 72.052496
2713  1 71.643617 0.817091 48.034997
